Gate,Method,Path,OperationId,Tag,Handler,EdgeFunction,RequestSchema,ResponseSchema,FrontendConsumers,MobileConsumers,SDKExposure,DatabaseDependency,ExistingTests,RequiredCorrection,CompatibilityRisk
G1,POST,/v1/agents/{agentId}/float/topup,agentFloatTopup,Agents,supabase/functions/agent-float-topup/index.ts,agent-float-topup,AgentFloatMovementRequest,(none),(admin only),(admin only),Node/Python/PHP,agents;agent_float_transactions,src/test/openapi-*-coverage.test.ts,Add content schema AgentTransactionResponse to 200,Low
G1,POST,/v1/agents/{agentId}/float/withdraw,agentFloatWithdraw,Agents,supabase/functions/agent-float-withdraw/index.ts,agent-float-withdraw,AgentFloatMovementRequest,(none),(admin only),(admin only),Node/Python/PHP,agents;agent_float_transactions,src/test/openapi-*-coverage.test.ts,Add content schema AgentTransactionResponse to 200,Low
G1,POST,/v1/agents/{agentId}/cash-in,agentCashIn,Agents,supabase/functions/agent-cash-in/index.ts,agent-cash-in,AgentCashRequest,(none),(agent app),(agent PWA),Node/Python/PHP,agents;agent_cash_transactions,src/test/openapi-*-coverage.test.ts,Add content schema AgentTransactionResponse to 200,Low
G1,POST,/v1/agents/{agentId}/cash-out,agentCashOut,Agents,supabase/functions/agent-cash-out/index.ts,agent-cash-out,AgentCashRequest,(none),(agent app),(agent PWA),Node/Python/PHP,agents;agent_cash_transactions,src/test/openapi-*-coverage.test.ts,Add content schema AgentTransactionResponse to 200,Low
G3,POST,/v1/gateway/qr,qrCreate,Payment Gateway,supabase/functions/gateway-qr-create/index.ts,gateway-qr-create,QrCreateRequest,QrCode,src/pages/MerchantQR.tsx,customer PWA,Node/Python/PHP,qr_codes,src/test/openapi-idempotency-coverage.test.ts,Add optional IdempotencyKeyHeader parameter (backward compatible),Low
G3,POST,/v1/gateway/global-accounts,createGlobalAccount,Payment Gateway,supabase/functions/gateway-global-accounts/index.ts,gateway-global-accounts,GlobalAccountCreateRequest,NiumGlobalAccount,src/pages/GlobalAccounts.tsx,PWA,Node/Python/PHP,nium_global_accounts,src/test/openapi-idempotency-coverage.test.ts,Add optional IdempotencyKeyHeader parameter,Low
G3,PATCH,/v1/gateway/global-accounts/payout-preference,updateGlobalAccountPayoutPreference,Payment Gateway,supabase/functions/gateway-global-accounts/index.ts,gateway-global-accounts,PayoutPreferenceUpdateRequest,(inline ok+scope),src/pages/GlobalAccounts.tsx,PWA,Node/Python/PHP,nium_global_accounts,(covered by contract test),Add optional IdempotencyKeyHeader parameter,Low
G3,POST,/v1/gateway/global-accounts/webhook,niumIncomingWebhook,Payment Gateway,supabase/functions/nium-webhook-receiver/index.ts,nium-webhook-receiver,NiumIncomingWebhook,(inline ok+status),(none — receiver),(none — receiver),(none — receiver),nium_webhook_audit;nium_incoming_payments,(covered by contract test),Add optional IdempotencyKeyHeader parameter,Low
G4,GET,/v1/agents,agentList,Agents,supabase/functions/agent-list/index.ts,agent-list,(query params),(inline array envelope),src/pages/admin/AgentManagement.tsx,(admin only),Node/Python/PHP,agents,src/test/openapi-pagination-coverage.test.ts,Add CursorParam/StartingAfter/EndingBefore/LimitParam refs,Low
G4,GET,/v1/remittance/cemac/corridors,cemacCorridorsList,Remittances,supabase/functions/cemac-corridors/index.ts,cemac-corridors,(none),CemacCorridor[],src/pages/Remittances.tsx,customer PWA,Node/Python/PHP,cemac_remittance_corridors,src/test/openapi-pagination-coverage.test.ts,Add CursorParam/StartingAfter/EndingBefore/LimitParam refs,Low
G4,GET,/v1/gateway/global-accounts,listGlobalAccounts,Payment Gateway,supabase/functions/gateway-global-accounts/index.ts,gateway-global-accounts,(none),(inline accounts+incoming_payments envelope),src/pages/GlobalAccounts.tsx,PWA,Node/Python/PHP,nium_global_accounts;nium_incoming_payments,src/test/openapi-pagination-coverage.test.ts,Add CursorParam/StartingAfter/EndingBefore/LimitParam refs,Low
G7,DELETE,/v1/budgeting/budgets/{budgetId},budgetingDeleteBudget,Budgeting,supabase/functions/budgeting-budgets/index.ts,budgeting-budgets,(none),204,src/pages/Budgeting.tsx,customer PWA,Node/Python/PHP,budgets,(gate G7 test),Add optional IdempotencyKeyHeader parameter,Low
G7,DELETE,/v1/budgeting/categories/{categoryId},budgetingDeleteCategory,Budgeting,supabase/functions/budgeting-categories/index.ts,budgeting-categories,(none),204,src/pages/Budgeting.tsx,customer PWA,Node/Python/PHP,budget_categories,(gate G7 test),Add optional IdempotencyKeyHeader parameter,Low
G7,DELETE,/v1/budgeting/categories/rules/{ruleId},budgetingDeleteRule,Budgeting,supabase/functions/budgeting-rules/index.ts,budgeting-rules,(none),204,src/pages/Budgeting.tsx,customer PWA,Node/Python/PHP,budget_categorisation_rules,(gate G7 test),Add optional IdempotencyKeyHeader parameter,Low
G7,DELETE,/v1/budgeting/goals/{goalId},budgetingDeleteGoal,Budgeting,supabase/functions/budgeting-goals/index.ts,budgeting-goals,(none),204,src/pages/Budgeting.tsx,customer PWA,Node/Python/PHP,savings_goals,(gate G7 test),Add optional IdempotencyKeyHeader parameter,Low
G7,DELETE,/v1/budgeting/goals/{goalId}/round-up,budgetingDisableRoundUp,Budgeting,supabase/functions/budgeting-goals/index.ts,budgeting-goals,(none),204,src/pages/Budgeting.tsx,customer PWA,Node/Python/PHP,roundup_settings,(gate G7 test),Add optional IdempotencyKeyHeader parameter,Low
