file,line,key,status,suggested_replacement
src/pages/Index.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/HeroSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/SecuritySection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/ArchitectureSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/CodeSnippetSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/IntegrationOverview.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/OpenBankingSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/SDKSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/UseCasesSection.tsx,,(none),fully_hardcoded,"no action"
src/components/developer/landing/AdvancedFeaturesGate.tsx,,(none),fully_hardcoded,"no action"
src/components/Navigation.tsx,366,signIn,used_valid,"(valid — resolved by LanguageContext)"
src/components/Navigation.tsx,369,getStarted,used_valid,"(valid — resolved by LanguageContext)"
src/components/DynamicNavigation.tsx,183,signIn,used_valid,"(valid — resolved by LanguageContext)"
src/components/DynamicNavigation.tsx,184,getStarted,used_valid,"(valid — resolved by LanguageContext)"
